品目,カテゴリ,産地（四大地域）,全国順位・シェア,特徴・基礎データ,出典確認推奨
葡萄菓子,菓子,中信,地域菓子,葡萄を使った羊羹・ジャム・干し葡萄
りんご菓子,菓子,中信,地域菓子,りんご使用・洋菓子和菓子混在
味噌まんじゅう,菓子,県全域,郷土菓子,赤味噌使用・甘辛い味わい
おはぎ・ぼたもち,菓子,県全域,季節菓子,盆・秋彼岸の伝統食
葬式まんじゅう,菓子,県全域,葬儀用,白い饅頭・香典返し用・全国的に珍しい習慣
稲毛田中味噌,加工食品,北信,老舗味噌メーカー,信州味噌代表ブランド
マルコメ,加工食品,中信,大手味噌メーカー,全国流通・信州味噌の代表
樽味噌,加工食品,県全域,伝統製造法,大樽での長期熟成・手づくり感
蔵出し味噌,加工食品,県全域,伝統製造,時間をかけた熟成・職人製
全自動醤油醸造施設,加工食品,県全域,工業化,機械化された伝統産業
塩辛い食文化（全般），食文化,県全域,健康課題・補償心理,海なし県の塩辛い食好み・高血圧率と関連
健康長寿食（野菜・発酵食），食文化,県全域,健康ブランド,野沢菜・味噌・漬物による腸活・長寿県への寄与
粉もん文化,食文化,各地,生活食,粉をつかった食べ物・蕎麦・おやき・粉コロッケなど
